Time [s],Joint1 [rad],Joint2 [rad],Joint3 [rad],Joint4 [rad],Joint5 [rad],Joint6 [rad],VelJ1 [rad/s],VelJ2 [rad/s],VelJ3 [rad/s],VelJ4 [rad/s],VelJ5 [rad/s],VelJ6 [rad/s]
0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.0000215553,0.00517017,0.00525,-0.000000384219,0.0000798269,0.0000213604,0.000431105,0.103403,0.105,-0.00000768438,0.00159654,0.000427207
0.2,0.0000862211,0.0206807,0.021,-0.00000153688,0.000319308,0.0000854414,0.000862211,0.206807,0.21,-0.0000153688,0.00319308,0.000854414
0.3,0.000193997,0.0465316,0.04725,-0.00000345797,0.000718442,0.000192243,0.00129332,0.31021,0.315,-0.0000230531,0.00478961,0.00128162
0.4,0.000344884,0.0827228,0.084,-0.0000061475,0.00127723,0.000341766,0.00172442,0.413614,0.42,-0.0000307375,0.00638615,0.00170883
0.5,0.000537999,0.129043,0.131035,-0.00000958974,0.00199241,0.000533134,0.00203218,0.487431,0.494957,-0.0000362232,0.00752588,0.0020138
0.6,0.000719662,0.172616,0.175281,-0.0000128278,0.00266517,0.000713154,0.00160107,0.384027,0.389957,-0.0000285388,0.00592934,0.00158659
0.7,0.000858213,0.205848,0.209026,-0.0000152975,0.00317827,0.000850453,0.00116997,0.280624,0.284957,-0.0000208544,0.0043328,0.00115939
0.8,0.000953655,0.22874,0.232272,-0.0000169987,0.00353173,0.000945031,0.00073886,0.17722,0.179957,-0.0000131701,0.00273626,0.000732179
0.9,0.00100599,0.241292,0.245018,-0.0000179315,0.00372553,0.000996889,0.000307755,0.073817,0.0749567,-0.00000548567,0.00113973,0.000304972
0.971387,0.00101697,0.243927,0.247693,-0.0000181273,0.00376621,0.00100777,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
0,0.00101697,0.243927,0.247693,-0.0000181273,0.00376621,0.00100777,0,0,0,0,0,0
0.1,0.00101532,0.242177,0.247648,-0.0000181231,0.0054706,0.00100614,-0.0000329825,-0.035,-0.000912198,0.000000084176,0.0340878,-0.00003274
0.2,0.00101037,0.236927,0.247511,-0.0000181105,0.0105838,0.00100123,-0.0000659649,-0.07,-0.0018244,0.000000168352,0.0681756,-0.0000654799
0.3,0.00100213,0.228177,0.247283,-0.0000180894,0.0191057,0.000993041,-0.0000989474,-0.105,-0.00273659,0.000000252528,0.102263,-0.0000982199
0.4,0.000990584,0.215927,0.246964,-0.00001806,0.0310364,0.000981582,-0.00013193,-0.14,-0.00364879,0.000000336704,0.136351,-0.00013096
0.5,0.000975742,0.200177,0.246553,-0.0000180221,0.046376,0.000966849,-0.000164912,-0.175,-0.00456099,0.00000042088,0.170439,-0.0001637
0.6,0.000957602,0.180927,0.246051,-0.0000179758,0.0651243,0.000948842,-0.000197895,-0.21,-0.00547319,0.000000505056,0.204527,-0.00019644
